network,node,tier,truth,surrogate,tabular_gbt,tabular_gbt_l1,tabular_ridge,topology_heuristic,sole_source_reach,downstream_reach
shift_5,25,1,0,0.0299806,0,0,0,0.10201,0,0
shift_5,26,1,0,0.0299806,0,0,0,0,0,0
shift_5,27,1,0,0.0299806,0,0,0,1.4699,0,8
shift_5,28,1,0,0.0299806,0,0,0.0413345,1.67573,0,8
shift_5,29,1,0,0.0299807,0,0,0,1.3505,0,8
shift_5,30,2,0,0.0299855,0,0,0.00992686,1.0513,0,8
shift_5,31,2,0.340756,0.0299809,0,0,0.0607536,5.35381,2,8
shift_5,32,2,0,0.029981,0,0,0.0201619,1.49867,0,7
shift_5,33,2,0,0.0299813,0.164862,0,0.0225896,4.94991,2,8
shift_5,34,2,0,0.0299806,0,0,0,0,0,0
shift_5,35,2,0,0.0299808,0,0,0.0148011,1.76775,0,7
shift_5,36,2,0,0.029983,0,0,0.0206993,1.17347,0,7
shift_5,37,2,0,0.0299802,0,0,0.0222079,1.86624,0,8
shift_5,38,2,0,0.0299806,0,0,0,0,0,0
shift_5,39,2,0.00939051,0.0299814,0,0,0.0493618,1.88944,0,8
shift_5,40,3,0.222082,0.0299823,0.0123301,0,0.0231247,4.04884,2,5
shift_5,41,3,0,0.029982,0,0,0.00414258,0.33988,0,3
shift_5,42,3,0,0.0299877,0,0,0.00956309,5.42155,2,7
shift_5,43,3,0,0.0299866,0.00236311,0,0,3.37947,2,3
shift_5,44,3,0.228754,0.0300123,0,0,0.00848423,2.8729,1,6
shift_5,45,3,0,0.0299847,0,0,0,0.69644,0,3
